"riactivityId","riactivityTypeName","year","date","domainName","interventionAreaName"
"docdbRS883U","Patent",2007,"2007-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20100132A","Patent",2011,"2011-01-01","Food","Food systems"
"docdbWO2015041556A1","Patent",2015,"2015-01-01","Process industries and materials","Advanced materials"
"docdbRS20090179A","Patent",2011,"2011-01-01","Heavy machinery","Energy storage"
"docdbEP2278199A1","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbUS2013074037A1","Patent",2013,"2013-01-01","ICT","Artificial intelligence and robotics"
"EACEA-522576","Culture",2012,"2012-01-01","ICT","Cultural heritage"
"docdbRS20070170A","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"EACEA-536581","Culture",2013,"2013-01-01","Better societies - governance, culture, education and the economy","Next generation internet"
"docdbUS2012149657A1","Patent",2012,"2012-01-01","Health & wellbeing","Health care systems"
"CORDIS-189039","FP7",2013,"2013-09-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20130338A1","Patent",2015,"2015-01-01","Health & wellbeing","Low-carbon and clean industries"
"552350-CREA-1-2014-1-SE-CULT-COOP2","Creative Europe",2014,"2014-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbEP2750567A1","Patent",2014,"2014-01-01","Food","Food systems"
"docdbRS20140400A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"EACEA-513493","Culture",2011,"2011-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"CORDIS-211960","H2020",2017,"2017-10-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbUS2011294711A1","Patent",2011,"2011-01-01","Food","Tools, technologies and digital solutions for health"
"docdbRS20100096A","Patent",2011,"2011-01-01","Process industries and materials","Advanced materials"
"docdbRS20100057A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-92318","FP7",2009,"2009-09-01","Process industries and materials","Advanced materials"
"docdbWO2015065217A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050271A","Patent",2008,"2008-01-01","Energy","Low-carbon and clean industries"
"docdbRS860U","Patent",2007,"2007-01-01","Transport","Clean transport and mobility"
"docdbRS1254U","Patent",2012,"2012-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20070225A","Patent",2010,"2010-01-01","Energy","Advanced materials"
"docdbRS20120471A1","Patent",2013,"2013-01-01","ICT","Advanced computing and Big Data"
"docdbRS20050781A","Patent",2007,"2007-01-01","Process industries and materials","Environmental and social health determinants"
"CORDIS-193324","H2020",2015,"2015-06-01","ICT","Social and economic transformations"
"docdbRS20070296A","Patent",2009,"2009-01-01","Heavy machinery","Energy supply"
"docdbRS20090480A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20070319A","Patent",2009,"2009-01-01","Energy","Energy storage"
"docdbWO2008052227A1","Patent",2008,"2008-01-01","Heavy machinery","Advanced materials"
"CORDIS-210276","H2020",2017,"2017-01-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20150841A1","Patent",2016,"2016-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20060618A","Patent",2008,"2008-01-01","Heavy machinery","Health care systems"
"docdbRS20070021A","Patent",2009,"2009-01-01","Energy","Energy supply"
"CORDIS-207448","H2020",2017,"2017-01-01","Health & wellbeing","Social and economic transformations"
"docdbRS20130226A1","Patent",2013,"2013-01-01","Process industries and materials","Advanced materials"
"docdbRS20090054A","Patent",2010,"2010-01-01","Energy","Low-carbon and clean industries"
"EACEA-522539","Culture",2012,"2012-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbRS20110093A1","Patent",2013,"2013-01-01","Energy","Energy supply"
"docdbRS20130495A1","Patent",2015,"2015-01-01","Heavy machinery","Food systems"
"CORDIS-93903","FP7",2010,"2010-01-01","ICT","Social and economic transformations"
"docdbRS20050781A","Patent",2007,"2007-01-01","Process industries and materials","Advanced materials"
"docdbUS2014284832A1","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20070277A","Patent",2009,"2009-01-01","Heavy machinery","Advanced materials"
"docdbRS20080397A","Patent",2010,"2010-01-01","Process industries and materials","Advanced materials"
"docdbUS2015223399A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS54714B1","Patent",2016,"2016-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-193324","H2020",2015,"2015-06-01","ICT","Advanced computing and Big Data"
"CORDIS-194838","H2020",2015,"2015-12-01","ICT","Environmental and social health determinants"
"docdbWO2007071316A1","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20110043A1","Patent",2013,"2013-01-01","Energy","Energy supply"
"docdbRS20140358A1","Patent",2016,"2016-01-01","Heavy machinery","Energy supply"
"docdbRS20080432A","Patent",2010,"2010-01-01","Food","Bio-based innovation systems"
"docdbRS20050606A","Patent",2007,"2007-01-01","Process industries and materials","Advanced materials"
"docdbRS20140263A1","Patent",2015,"2015-01-01","Process industries and materials","Infectious diseases"
"docdbRS20090434A","Patent",2011,"2011-01-01","Process industries and materials","Food systems"
"CORDIS-94906","FP7",2010,"2010-05-28","Better societies - governance, culture, education and the economy","Energy supply"
"559393-CREA-1-2015-1-RO-CULT-COOP1","Creative Europe",2015,"2015-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbRS20070108A","Patent",2009,"2009-01-01","Electric and electronic technologies","Low-carbon and clean industries"
"docdbRS20060142A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS1357U","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050626A","Patent",2007,"2007-01-01","Process industries and materials","Advanced materials"
"docdbRS20060032A","Patent",2008,"2008-01-01","Process industries and materials","Advanced materials"
"CORDIS-109944","FP7",2013,"2013-09-01","ICT","Advanced computing and Big Data"
"CORDIS-86226","FP7",2008,"2008-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbRS1049U","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20080486A","Patent",2010,"2010-01-01","Heavy machinery","Advanced materials"
"docdbWO2015183119A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-95933","FP7",2010,"2010-09-01","ICT","Advanced computing and Big Data"
"docdbRS20060477A","Patent",2008,"2008-01-01","Health & wellbeing","Tools, technologies and digital solutions for health"
"docdbRS20050633A","Patent",2008,"2008-01-01","Heavy machinery","Tools, technologies and digital solutions for health"
"docdbRS20070148A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbWO2007112517A1","Patent",2007,"2007-01-01","Energy","Clean transport and mobility"
"docdbUS2012135095A1","Patent",2012,"2012-01-01","Process industries and materials","Low-carbon and clean industries"
"docdbRS20120302A1","Patent",2014,"2014-01-01","Process industries and materials","Advanced materials"
"docdbRS20070339A","Patent",2009,"2009-01-01","Energy","Energy storage"
"CORDIS-98431","FP7",2011,"2011-04-01","ICT","Advanced computing and Big Data"
"docdbWO2014026719A1","Patent",2014,"2014-01-01","Heavy machinery","Energy supply"
"docdbRS1399U","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbUS2013303274A1","Patent",2013,"2013-01-01","ICT","Advanced computing and Big Data"
"docdbRS20041128A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbWO2015181253A1","Patent",2015,"2015-01-01","Health & wellbeing","Tools, technologies and digital solutions for health"
"docdbRS97804A","Patent",2007,"2007-01-01","ICT","Advanced computing and Big Data"
"docdbRS20070347A","Patent",2009,"2009-01-01","Health & wellbeing","Low-carbon and clean industries"
"CORDIS-98431","FP7",2011,"2011-04-01","ICT","Social and economic transformations"
"docdbRS1292U","Patent",2012,"2012-01-01","No domain","No intervention area"
"docdbUS2014002341A1","Patent",2014,"2014-01-01","ICT","Artificial intelligence and robotics"
"CORDIS-86745","FP7",2008,"2008-05-01","Health & wellbeing","Tools, technologies and digital solutions for health"
"EACEA-536323","Culture",2013,"2013-01-01","ICT","Next generation internet"
"docdbRS20050782A","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbWO2008094060A2","Patent",2008,"2008-01-01","Electric and electronic technologies","Advanced computing and Big Data"
"docdbWO2014056049A1","Patent",2014,"2014-01-01","Heavy machinery","Energy supply"
"docdbWO2012019250A1","Patent",2012,"2012-01-01","Transport","Clean transport and mobility"
"CORDIS-200840","H2020",2016,"2016-01-01","Energy","Social and economic transformations"
"CORDIS-93250","FP7",2010,"2010-02-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20100533A","Patent",2011,"2011-01-01","ICT","Advanced computing and Big Data"
"docdbWO2007114721A2","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"584592-CREA-1-2017-1-BA-CULT-COOP1","Creative Europe",2017,"2017-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbWO2014186873A1","Patent",2014,"2014-01-01","ICT","Artificial intelligence and robotics"
"docdbWO2009017820A2","Patent",2009,"2009-01-01","Energy","Energy supply"
"docdbEP2489326A2","Patent",2012,"2012-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20140713A1","Patent",2016,"2016-01-01","Food","Food systems"
"docdbRS20050754A","Patent",2007,"2007-01-01","Food","Low-carbon and clean industries"
"docdbWO2016004485A1","Patent",2016,"2016-01-01","Heavy machinery","Clean transport and mobility"
"docdbWO2013136132A1","Patent",2013,"2013-01-01","Energy","Low-carbon and clean industries"
"docdbRS20060231A","Patent",2008,"2008-01-01","Process industries and materials","Advanced materials"
"EUREKA-Network_Projects-2475","Eureka",2016,"2016-01-01","Food","Bio-based innovation systems"
"CORDIS-212417","H2020",2017,"2017-11-01","Better societies - governance, culture, education and the economy","Next generation internet"
"docdbRS1321U","Patent",2013,"2013-01-01","Transport","Clean transport and mobility"
"docdbRS20130487A1","Patent",2015,"2015-01-01","Process industries and materials","Low-carbon and clean industries"
"CORDIS-90354","FP7",2009,"2009-02-01","Better societies - governance, culture, education and the economy","Food systems"
"docdbWO2010090543A2","Patent",2010,"2010-01-01","Heavy machinery","Energy supply"
"docdbRS20110239A1","Patent",2013,"2013-01-01","Heavy machinery","Advanced materials"
"docdbRS20070193A","Patent",2009,"2009-01-01","Heavy machinery","Noncommunicable and rare diseases"
"docdbRS20090330A","Patent",2011,"2011-01-01","Health & wellbeing","Health care systems"
"docdbRS20120399A1","Patent",2014,"2014-01-01","Process industries and materials","Low-carbon and clean industries"
"docdbRS20100177A","Patent",2011,"2011-01-01","Process industries and materials","Advanced materials"
"docdbCL2008001029A1","Patent",2008,"2008-01-01","Heavy machinery","Energy supply"
"docdbRS20050964A","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20100477A2","Patent",2012,"2012-01-01","Food","Advanced materials"
"docdbRS20140628A1","Patent",2016,"2016-01-01","ICT","Advanced computing and Big Data"
"docdbRS20060380A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbWO2008100169A2","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20090349A","Patent",2011,"2011-01-01","ICT","Low-carbon and clean industries"
"CORDIS-210174","H2020",2017,"2017-05-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20140710A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20060559A","Patent",2008,"2008-01-01","Food","Food systems"
"CORDIS-109257","FP7",2013,"2013-03-01","Energy","Energy supply"
"CORDIS-204348","H2020",2016,"2016-05-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"CORDIS-95923","FP7",2010,"2010-05-01","Better societies - governance, culture, education and the economy","Next generation internet"
"docdbRS20150111A1","Patent",2015,"2015-01-01","Heavy machinery","Advanced materials"
"CORDIS-90506","FP7",2009,"2009-02-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20060574A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20120018A1","Patent",2013,"2013-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20120543A1","Patent",2014,"2014-01-01","Heavy machinery","Energy storage"
"docdbGB2528277A","Patent",2016,"2016-01-01","Energy","Energy supply"
"docdbRS20080378A","Patent",2010,"2010-01-01","Energy","Energy supply"
"docdbRS1379U","Patent",2014,"2014-01-01","Energy","Energy supply"
"docdbRS853U","Patent",2007,"2007-01-01","Heavy machinery","Next generation internet"
"CORDIS-191776","CIP",2014,"2014-02-01","ICT","Social and economic transformations"
"CORDIS-94575","FP7",2010,"2010-05-01","ICT","Next generation internet"
"CORDIS-111538","FP7",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS924U","Patent",2008,"2008-01-01","No domain","No intervention area"
"docdbWO2012067531A1","Patent",2012,"2012-01-01","Heavy machinery","Advanced materials"
"docdbUS2014376770A1","Patent",2014,"2014-01-01","ICT","Artificial intelligence and robotics"
"CORDIS-204627","H2020",2015,"2015-11-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"CORDIS-105761","FP7",2012,"2012-11-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"CORDIS-202708","H2020",2016,"2016-05-01","ICT","Social and economic transformations"
"docdbEP2183478A1","Patent",2010,"2010-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-105089","FP7",2012,"2012-10-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"CORDIS-106339","FP7",2012,"2012-11-01","ICT","Next generation internet"
"docdbRS20080243A","Patent",2010,"2010-01-01","Heavy machinery","Advanced materials"
"docdbWO2011103645A1","Patent",2011,"2011-01-01","Food","Food systems"
"docdbRS20060091A","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20100051A","Patent",2011,"2011-01-01","Process industries and materials","Energy supply"
"CORDIS-86779","FP7",2008,"2008-01-01","ICT","Next generation internet"
"docdbWO2014195790A1","Patent",2014,"2014-01-01","Energy","Low-carbon and clean industries"
"docdbRS20090177A","Patent",2011,"2011-01-01","Heavy machinery","Clean transport and mobility"
"CORDIS-191146","FP7",2014,"2014-02-01","Food","Agriculture, forestry and rural areas"
"docdbWO2008098316A1","Patent",2008,"2008-01-01","Heavy machinery","Clean transport and mobility"
"docdbRS20060477A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050633A","Patent",2008,"2008-01-01","Health & wellbeing","Low-carbon and clean industries"
"docdbRS20080473A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20140243A1","Patent",2016,"2016-01-01","Energy","Low-carbon and clean industries"
"docdbRS20130449A1","Patent",2015,"2015-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20050159A","Patent",2007,"2007-01-01","Energy","Low-carbon and clean industries"
"docdbRS20140491A1","Patent",2015,"2015-01-01","Environmental sciences and industries","Low-carbon and clean industries"
"docdbRS20090453A","Patent",2011,"2011-01-01","Energy","Energy supply"
"docdbWO2009008757A2","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-210236","H2020",2017,"2017-05-01","Better societies - governance, culture, education and the economy","Next generation internet"
"docdbRS20130042A1","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20070149A","Patent",2010,"2010-01-01","Heavy machinery","Energy supply"
"CORDIS-98431","FP7",2011,"2011-04-01","Food","Food systems"
"docdbWO2008004202A2","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20090433A","Patent",2010,"2010-01-01","Process industries and materials","Low-carbon and clean industries"
"docdbRS20050348A","Patent",2009,"2009-01-01","Transport","Clean transport and mobility"
"docdbRS1266U","Patent",2012,"2012-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20090488A","Patent",2011,"2011-01-01","Electric and electronic technologies","Energy storage"
"EUREKA-Network_Projects-1994","Eureka",2010,"2010-01-01","Energy","Energy supply"
"docdbCA2832904A1","Patent",2012,"2012-01-01","Electric and electronic technologies","Energy storage"
"docdbUS2015211478A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050576A","Patent",2007,"2007-01-01","Energy","Energy supply"
"docdbRS20090544A","Patent",2011,"2011-01-01","Energy","Low-carbon and clean industries"
"docdbRS20070058A","Patent",2008,"2008-01-01","Electric and electronic technologies","Energy storage"
"docdbRS20090455A","Patent",2010,"2010-01-01","Heavy machinery","Noncommunicable and rare diseases"
"docdbRS20100529A2","Patent",2012,"2012-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20110585A1","Patent",2013,"2013-01-01","Health & wellbeing","Infectious diseases"
"docdbWO2011103646A1","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"EACEA-512488","Culture",2010,"2010-01-01","Better societies - governance, culture, education and the economy","Tools, technologies and digital solutions for health"
"docdbRS1462U1","Patent",2016,"2016-01-01","Process industries and materials","Low-carbon and clean industries"
"docdbRS20140052A1","Patent",2014,"2014-01-01","ICT","Social and economic transformations"
"docdbRS20090255A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20130430A1","Patent",2015,"2015-01-01","Food","Advanced materials"
"CORDIS-99995","FP7",2011,"2011-10-01","ICT","Energy supply"
"583762-CREA-1-2017-1-HR-CULT-COOP1","Creative Europe",2017,"2017-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbRS20100205A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050312A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS1223U","Patent",2011,"2011-01-01","Energy","Energy supply"
"CORDIS-110558","FP7",2013,"2013-11-01","Health & wellbeing","Noncommunicable and rare diseases"
"docdbRS20060338A","Patent",2007,"2007-01-01","Energy","Energy supply"
"docdbRS20060601A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbUS2014328529A1","Patent",2014,"2014-01-01","ICT","Artificial intelligence and robotics"
"docdbRS1311U","Patent",2013,"2013-01-01","ICT","Artificial intelligence and robotics"
"docdbGB2461435A","Patent",2010,"2010-01-01","Energy","Energy supply"
"docdbRS20070145A","Patent",2009,"2009-01-01","Food","Food systems"
"CORDIS-86747","FP7",2008,"2008-05-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbRS20090292A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20070297A","Patent",2009,"2009-01-01","Heavy machinery","Energy supply"
"docdbRS20070383A","Patent",2009,"2009-01-01","Food","Bio-based innovation systems"
"docdbCR8579A","Patent",2007,"2007-01-01","No domain","No intervention area"
"docdbRS20060091A","Patent",2007,"2007-01-01","Heavy machinery","Next generation internet"
"CORDIS-200558","H2020",2016,"2016-01-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS1200U","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20140052A1","Patent",2014,"2014-01-01","ICT","Advanced computing and Big Data"
"docdbRS20080264A","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20130208A1","Patent",2015,"2015-01-01","Process industries and materials","Low-carbon and clean industries"
"CORDIS-194619","H2020",2015,"2015-03-01","Better societies - governance, culture, education and the economy","Energy supply"
"CORDIS-89366","FP7",2008,"2008-02-01","Better societies - governance, culture, education and the economy","Protection and Security"
"559522-CREA-1-2015-1-NL-CULT-COOP2","Creative Europe",2015,"2015-01-01","ICT","Next generation internet"
"docdbUS2011069180A1","Patent",2011,"2011-01-01","ICT","Artificial intelligence and robotics"
"docdbWO2009108078A2","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS853U","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbWO2015070417A1","Patent",2015,"2015-01-01","ICT","Artificial intelligence and robotics"
"570515-CREA-1-2016-1-AL-CULT-COOP1","Creative Europe",2016,"2016-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbEP2370690A1","Patent",2011,"2011-01-01","Heavy machinery","Energy supply"
"CORDIS-205705","H2020",2017,"2017-01-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbWO2010019064A1","Patent",2010,"2010-01-01","Heavy machinery","Circular systems"
"docdbMEP24708A","Patent",2010,"2010-01-01","Energy","Energy supply"
"docdbWO2011053376A1","Patent",2011,"2011-01-01","ICT","Advanced computing and Big Data"
"docdbUS2010303145A1","Patent",2010,"2010-01-01","ICT","Advanced computing and Big Data"
"docdbUS2012243996A1","Patent",2012,"2012-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050783A","Patent",2007,"2007-01-01","Electric and electronic technologies","Noncommunicable and rare diseases"
"CORDIS-110342","FP7",2013,"2013-10-01","ICT","Advanced computing and Big Data"
"docdbRS20080043A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"EACEA-513658","Culture",2011,"2011-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbWO2013055249A1","Patent",2013,"2013-01-01","ICT","Advanced computing and Big Data"
"docdbRS1384U","Patent",2014,"2014-01-01","Process industries and materials","Circular systems"
"docdbBRPI0721876A2","Patent",2014,"2014-01-01","Heavy machinery","Energy supply"
"CORDIS-105614","FP7",2012,"2012-10-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20070180A","Patent",2009,"2009-01-01","Process industries and materials","Advanced materials"
"docdbRS20060515A","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20140648A1","Patent",2016,"2016-01-01","Food","Agriculture, forestry and rural areas"
"docdbEP3074900A1","Patent",2016,"2016-01-01","ICT","Artificial intelligence and robotics"
"CORDIS-110342","FP7",2013,"2013-10-01","ICT","Social and economic transformations"
"docdbRS1478U1","Patent",2016,"2016-01-01","Process industries and materials","Advanced materials"
"docdbRS20110546A1","Patent",2013,"2013-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbGB2515260A","Patent",2014,"2014-01-01","Energy","Low-carbon and clean industries"
"docdbUS2010080462A1","Patent",2010,"2010-01-01","ICT","Cultural heritage"
"docdbRS20140351A1","Patent",2015,"2015-01-01","Health & wellbeing","Advanced materials"
"docdbRS970U","Patent",2008,"2008-01-01","Process industries and materials","Advanced materials"
"CORDIS-109025","FP7",2013,"2013-07-01","Health & wellbeing","Tools, technologies and digital solutions for health"
"docdbRS20060445A","Patent",2008,"2008-01-01","Energy","Energy supply"
"docdbRS20100257A2","Patent",2012,"2012-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20100140A2","Patent",2012,"2012-01-01","Heavy machinery","Low-carbon and clean industries"
"EACEA-513486","Culture",2011,"2011-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbRS911U","Patent",2008,"2008-01-01","ICT","Low-carbon and clean industries"
"docdbRS977U","Patent",2008,"2008-01-01","Energy","Energy supply"
"docdbRS20110026A2","Patent",2012,"2012-01-01","Electric and electronic technologies","Low-carbon and clean industries"
"CORDIS-99995","FP7",2011,"2011-10-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"CORDIS-106834","FP7",2013,"2013-01-01","Better societies - governance, culture, education and the economy","Environmental and social health determinants"
"docdbRS20070346A","Patent",2008,"2008-01-01","Energy","Energy supply"
"docdbRS20060571A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050766A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"552689-CREA-1-2014-1-MK-CULT-LIT2","Creative Europe",2014,"2014-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbUS2012166310A1","Patent",2012,"2012-01-01","Better societies - governance, culture, education and the economy","Advanced computing and Big Data"
"docdbUS2013269247A1","Patent",2013,"2013-01-01","Process industries and materials","Advanced materials"
"docdbRS20100326A2","Patent",2012,"2012-01-01","Heavy machinery","Noncommunicable and rare diseases"
"docdbRS20060510A","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050682A","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbUS2010303145A1","Patent",2010,"2010-01-01","ICT","Next generation internet"
"docdbUS2012166310A1","Patent",2012,"2012-01-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20090013A","Patent",2011,"2011-01-01","Food","Low-carbon and clean industries"
"docdbRS62604A","Patent",2007,"2007-01-01","Health & wellbeing","Bio-based innovation systems"
"docdbWO2015196261A1","Patent",2015,"2015-01-01","Heavy machinery","Clean transport and mobility"
"docdbUS2012149657A1","Patent",2012,"2012-01-01","Process industries and materials","Advanced materials"
"552632-CREA-1-2014-1-MK-CULT-LIT1","Creative Europe",2014,"2014-01-01","Health & wellbeing","Protection and Security"
"docdbHK1132322A1","Patent",2012,"2012-01-01","Process industries and materials","Low-carbon and clean industries"
"EACEA-536591","Culture",2013,"2013-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"CORDIS-95139","FP7",2010,"2010-05-15","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbAT509661A1","Patent",2011,"2011-01-01","No domain","No intervention area"
"docdbWO2011129712A2","Patent",2011,"2011-01-01","Heavy machinery","Advanced materials"
"CORDIS-212358","H2020",2017,"2017-10-01","Energy","Advanced computing and Big Data"
"docdbRS20090566A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20060565A","Patent",2008,"2008-01-01","Food","Low-carbon and clean industries"
"CORDIS-194626","H2020",2015,"2015-09-01","ICT","Advanced computing and Big Data"
"EUREKA-Network_Projects-2305","Eureka",2013,"2013-01-01","ICT","Advanced computing and Big Data"
"docdbUS2013013601A1","Patent",2013,"2013-01-01","ICT","Artificial intelligence and robotics"
"docdbRS968U","Patent",2008,"2008-01-01","ICT","Artificial intelligence and robotics"
"CORDIS-99995","FP7",2011,"2011-10-01","Better societies - governance, culture, education and the economy","Advanced computing and Big Data"
"docdbWO2016076742A1","Patent",2016,"2016-01-01","ICT","Artificial intelligence and robotics"
"docdbRS1233U","Patent",2011,"2011-01-01","Process industries and materials","Advanced materials"
"docdbRS20070516A","Patent",2008,"2008-01-01","ICT","Low-carbon and clean industries"
"docdbWO2009093922A1","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20070338A","Patent",2009,"2009-01-01","Energy","Energy supply"
"docdbRS20090409A","Patent",2011,"2011-01-01","Heavy machinery","Energy supply"
"CORDIS-203384","H2020",2016,"2016-10-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"551987-CREA-1-2014-1-DE-CULT-COOP2","Creative Europe",2014,"2014-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbUS2012238468A1","Patent",2012,"2012-01-01","Health & wellbeing","Tools, technologies and digital solutions for health"
"docdbRS20090393A","Patent",2011,"2011-01-01","Health & wellbeing","Low-carbon and clean industries"
"CORDIS-91504","FP7",2009,"2009-04-01","Better societies - governance, culture, education and the economy","Advanced computing and Big Data"
"CORDIS-212357","H2020",2017,"2017-11-01","Energy","Energy supply"
"docdbUS2010206489A1","Patent",2010,"2010-01-01","Transport","Clean transport and mobility"
"CORDIS-94296","FP7",2010,"2010-02-01","Food","Tools, technologies and digital solutions for health"
"docdbWO2016023048A1","Patent",2016,"2016-01-01","Heavy machinery","Low-carbon and clean industries"
