"riactivityId","riactivityTypeName","year","date","domainName","interventionAreaName"
"CORDIS-197358","H2020",2015,"2015-07-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS954U","Patent",2008,"2008-01-01","ICT","Artificial intelligence and robotics"
"docdbEP3074900A1","Patent",2016,"2016-01-01","ICT","Environmental and social health determinants"
"docdbRS20100189A","Patent",2011,"2011-01-01","Process industries and materials","Advanced materials"
"docdbRS20160278A1","Patent",2016,"2016-01-01","Heavy machinery","Advanced materials"
"CORDIS-211876","H2020",2017,"2017-09-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20100535A2","Patent",2012,"2012-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050900A","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-90979","FP7",2009,"2009-04-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbSE1600155A1","Patent",2016,"2016-01-01","Electric and electronic technologies","Energy storage"
"docdbRS870U","Patent",2007,"2007-01-01","Process industries and materials","Advanced materials"
"docdbRS1384U","Patent",2014,"2014-01-01","Environmental sciences and industries","Advanced materials"
"CORDIS-101361","FP7",2011,"2011-12-01","Health & wellbeing","Noncommunicable and rare diseases"
"docdbRS20110206A2","Patent",2012,"2012-01-01","Electric and electronic technologies","Energy storage"
"docdbRS1365U","Patent",2014,"2014-01-01","Process industries and materials","Energy supply"
"docdbRS20060488A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20070473A","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"EACEA-513619","Culture",2011,"2011-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"EUREKA-Network_Projects-1909","Eureka",2010,"2010-01-01","ICT","Advanced computing and Big Data"
"docdbRS20150128A1","Patent",2016,"2016-01-01","Process industries and materials","Advanced materials"
"docdbRS1140U","Patent",2010,"2010-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20060354A","Patent",2007,"2007-01-01","Electric and electronic technologies","Low-carbon and clean industries"
"docdbWO2016122339A1","Patent",2016,"2016-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20100175A","Patent",2011,"2011-01-01","Process industries and materials","Advanced materials"
"EACEA-522527","Culture",2012,"2012-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbRS20100305A","Patent",2011,"2011-01-01","Process industries and materials","Advanced materials"
"docdbRS20160278A1","Patent",2016,"2016-01-01","Environmental sciences and industries","Advanced materials"
"docdbWO2012154673A1","Patent",2012,"2012-01-01","ICT","Artificial intelligence and robotics"
"docdbRS1105U","Patent",2009,"2009-01-01","Heavy machinery","Energy supply"
"EUREKA-Network_Projects-1869","Eureka",2010,"2010-01-01","ICT","Artificial intelligence and robotics"
"docdbWO2013038242A1","Patent",2013,"2013-01-01","Health & wellbeing","Noncommunicable and rare diseases"
"docdbDK201100299A","Patent",2012,"2012-01-01","Electric and electronic technologies","Energy storage"
"docdbRS20130190A1","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbDE102009040219A1","Patent",2011,"2011-01-01","Heavy machinery","Advanced materials"
"docdbRS20080199A","Patent",2010,"2010-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS1092U","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS877U","Patent",2007,"2007-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"CORDIS-109831","FP7",2013,"2013-09-01","Energy","Advanced materials"
"CORDIS-200072","H2020",2016,"2016-02-01","ICT","Advanced computing and Big Data"
"docdbRS20090020A","Patent",2010,"2010-01-01","Energy","Energy supply"
"CORDIS-194045","H2020",2014,"2014-07-01","Health & wellbeing","Social and economic transformations"
"CORDIS-100482","FP7",2011,"2011-03-01","ICT","Clean transport and mobility"
"docdbRS52604A","Patent",2007,"2007-01-01","Heavy machinery","Advanced computing and Big Data"
"CORDIS-88425","FP7",2008,"2008-02-01","ICT","Next generation internet"
"docdbRS20150595A1","Patent",2016,"2016-01-01","Process industries and materials","Low-carbon and clean industries"
"docdbRS20100148A","Patent",2011,"2011-01-01","Electric and electronic technologies","Low-carbon and clean industries"
"docdbRS20120346A1","Patent",2013,"2013-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20120168A1","Patent",2013,"2013-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20140076A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbWO2007049066A1","Patent",2007,"2007-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20090544A","Patent",2011,"2011-01-01","Energy","Energy storage"
"docdbUS2012125157A1","Patent",2012,"2012-01-01","Process industries and materials","Energy supply"
"docdbRS1162U","Patent",2010,"2010-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20090435A","Patent",2010,"2010-01-01","Energy","Energy supply"
"docdbWO2009031913A2","Patent",2009,"2009-01-01","Energy","Low-carbon and clean industries"
"docdbRS1130U","Patent",2010,"2010-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20060370A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbUS2013337895A1","Patent",2013,"2013-01-01","ICT","Artificial intelligence and robotics"
"docdbUS2015344132A1","Patent",2015,"2015-01-01","Energy","Low-carbon and clean industries"
"docdbRS20120230A1","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20110427A1","Patent",2013,"2013-01-01","Heavy machinery","Energy supply"
"docdbRS1434U1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20100016A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20110311A1","Patent",2013,"2013-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS857U","Patent",2007,"2007-01-01","No domain","No intervention area"
"docdbRS985U","Patent",2008,"2008-01-01","Process industries and materials","Advanced materials"
"docdbRS1149U","Patent",2010,"2010-01-01","Transport","Clean transport and mobility"
"docdbRS20120349A1","Patent",2014,"2014-01-01","Process industries and materials","Food systems"
"docdbKR20150143810A","Patent",2015,"2015-01-01","No domain","No intervention area"
"CORDIS-205975","H2020",2016,"2016-11-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"CORDIS-99630","FP7",2011,"2011-05-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbRS20080217A","Patent",2010,"2010-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbDE102013000271A1","Patent",2014,"2014-01-01","Energy","Energy supply"
"docdbRS20120305A1","Patent",2013,"2013-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-102486","FP7",2012,"2012-03-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS920U","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"580173-CREA-1-2016-2-RS-MED-TV","Creative Europe",2016,"2016-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"CORDIS-205813","H2020",2016,"2016-11-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"CORDIS-203294","H2020",2016,"2016-06-01","ICT","Social and economic transformations"
"docdbRS20090158A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS1470U1","Patent",2016,"2016-01-01","Process industries and materials","Advanced materials"
"docdbWO2009145653A1","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20100207A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20150347A1","Patent",2016,"2016-01-01","Process industries and materials","Advanced materials"
"docdbRS842U","Patent",2007,"2007-01-01","Energy","Energy supply"
"docdbRS20100504A2","Patent",2012,"2012-01-01","Heavy machinery","Advanced materials"
"docdbRS20080345A","Patent",2010,"2010-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20130460A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-199271","H2020",2016,"2016-05-01","ICT","Next generation internet"
"docdbRS20090488A","Patent",2011,"2011-01-01","Electric and electronic technologies","Low-carbon and clean industries"
"docdbWO2009105843A1","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbUS2011175994A1","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbGB2528648A","Patent",2016,"2016-01-01","ICT","Advanced computing and Big Data"
"CORDIS-110705","FP7",2013,"2013-11-01","Energy","Food systems"
"CORDIS-111483","FP7",2014,"2014-01-01","Environmental sciences and industries","Social and economic transformations"
"docdbRS20080424A","Patent",2010,"2010-01-01","Heavy machinery","Energy supply"
"CORDIS-186071","FP7",2014,"2014-03-01","Better societies - governance, culture, education and the economy","Advanced computing and Big Data"
"docdbRS20140414A1","Patent",2016,"2016-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20130031A1","Patent",2014,"2014-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20110282A1","Patent",2013,"2013-01-01","Food","Low-carbon and clean industries"
"docdbRS20140229A1","Patent",2014,"2014-01-01","ICT","Advanced computing and Big Data"
"docdbRS20150701A1","Patent",2016,"2016-01-01","Heavy machinery","Advanced materials"
"docdbRS1035U","Patent",2009,"2009-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20140436A1","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-109711","FP7",2013,"2013-09-01","ICT","Social and economic transformations"
"CORDIS-191922","CIP",2012,"2012-01-15","ICT","Social and economic transformations"
"CORDIS-99335","FP7",2011,"2011-06-01","ICT","Next generation internet"
"CORDIS-200216","H2020",2016,"2016-04-01","ICT","Advanced computing and Big Data"
"docdbRS20060288A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS843U","Patent",2007,"2007-01-01","No domain","No intervention area"
"docdbRS976U","Patent",2008,"2008-01-01","ICT","Artificial intelligence and robotics"
"docdbWO2013168046A1","Patent",2013,"2013-01-01","Energy","Energy supply"
"552777-CREA-1-2014-1-MK-CULT-LIT1","Creative Europe",2014,"2014-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"CORDIS-95527","FP7",2010,"2010-06-01","Better societies - governance, culture, education and the economy","Protection and Security"
"584127-CREA-1-2017-1-RS-MED-FESTIVALS","Creative Europe",2017,"2017-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"CORDIS-101812","FP7",2012,"2012-01-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS1121U","Patent",2010,"2010-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20140146A1","Patent",2014,"2014-01-01","Energy","Low-carbon and clean industries"
"EACEA-507640","Culture",2010,"2010-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbEP2282665A1","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20100512A2","Patent",2012,"2012-01-01","Energy","Energy supply"
"docdbRS20130357A1","Patent",2014,"2014-01-01","Electric and electronic technologies","Artificial intelligence and robotics"
"docdbRS20110373A1","Patent",2013,"2013-01-01","Energy","Low-carbon and clean industries"
"docdbRS20060163A","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbWO2009008757A2","Patent",2009,"2009-01-01","Heavy machinery","Energy storage"
"docdbRS20140469A1","Patent",2016,"2016-01-01","ICT","Advanced computing and Big Data"
"docdbRS20130465A1","Patent",2015,"2015-01-01","Food","Agriculture, forestry and rural areas"
"docdbRS20100544A2","Patent",2012,"2012-01-01","Process industries and materials","Advanced materials"
"594429-CREA-1-2017-1-RS-CULT-LIT1","Creative Europe",2017,"2017-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbRS20090175A","Patent",2011,"2011-01-01","Process industries and materials","Advanced materials"
"docdbEP2558684A2","Patent",2013,"2013-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbAT537392T","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-206106","H2020",2017,"2017-01-01","ICT","Social and economic transformations"
"docdbSI23529A","Patent",2012,"2012-01-01","Transport","Low-carbon and clean industries"
"docdbRS20070143A","Patent",2009,"2009-01-01","Process industries and materials","Advanced materials"
"docdbRS20150312A1","Patent",2016,"2016-01-01","Better societies - governance, culture, education and the economy","Low-carbon and clean industries"
"docdbRS20060573A","Patent",2008,"2008-01-01","Heavy machinery","Advanced materials"
"docdbRS20050587A","Patent",2008,"2008-01-01","Energy","Energy supply"
"docdbRS96004A","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbBRMU9102711U2","Patent",2013,"2013-01-01","No domain","No intervention area"
"CORDIS-206106","H2020",2017,"2017-01-01","ICT","Advanced computing and Big Data"
"docdbWO2010027290A1","Patent",2010,"2010-01-01","Heavy machinery","Low-carbon and clean industries"
"572422-CREA-1-2016-1-MK-MED-FESTIVALS","Creative Europe",2016,"2016-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbUS2011132378A1","Patent",2011,"2011-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20110360A1","Patent",2013,"2013-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-91012","FP7",2009,"2009-04-01","ICT","Next generation internet"
"docdbRS20090565A","Patent",2011,"2011-01-01","Process industries and materials","Energy supply"
"docdbRS20070060A","Patent",2009,"2009-01-01","Process industries and materials","Advanced materials"
"docdbRS20080357A","Patent",2010,"2010-01-01","Process industries and materials","Circular systems"
"561244-CREA-1-2015-1-AL-CULT-LIT1","Creative Europe",2015,"2015-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbRS20150281A1","Patent",2016,"2016-01-01","Process industries and materials","Energy supply"
"CORDIS-200216","H2020",2016,"2016-04-01","ICT","Social and economic transformations"
"docdbRS993U","Patent",2008,"2008-01-01","Energy","Energy supply"
"docdbRS20090280A","Patent",2011,"2011-01-01","Process industries and materials","Advanced materials"
"CORDIS-109811","FP7",2013,"2013-09-01","ICT","Next generation internet"
"docdbUS2015323189A1","Patent",2015,"2015-01-01","Energy","Low-carbon and clean industries"
"docdbRS20080166A","Patent",2010,"2010-01-01","Process industries and materials","Advanced materials"
"docdbRU2007128015A","Patent",2009,"2009-01-01","Food","Food systems"
"docdbWO2012116418A1","Patent",2012,"2012-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbWO2009156874A1","Patent",2009,"2009-01-01","ICT","Environmental and social health determinants"
"docdbUS2012075442A1","Patent",2012,"2012-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20140682A1","Patent",2016,"2016-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20060555A","Patent",2007,"2007-01-01","Electric and electronic technologies","Energy storage"
"docdbRS20090233A","Patent",2011,"2011-01-01","Energy","Advanced materials"
"docdbRS20120415A1","Patent",2014,"2014-01-01","ICT","Energy storage"
"CORDIS-102257","FP7",2012,"2012-01-01","Health & wellbeing","Noncommunicable and rare diseases"
"docdbRS20110345A2","Patent",2013,"2013-01-01","ICT","Advanced computing and Big Data"
"CORDIS-110560","FP7",2013,"2013-11-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20100115A","Patent",2010,"2010-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20150271A1","Patent",2016,"2016-01-01","Process industries and materials","Energy supply"
"docdbRS20070160A","Patent",2009,"2009-01-01","Process industries and materials","Advanced materials"
"578885-CREA-1-2016-1-AL-CULT-LIT1","Creative Europe",2016,"2016-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbWO2008075928A1","Patent",2008,"2008-01-01","Heavy machinery","Health care systems"
"docdbWO2007131306A1","Patent",2007,"2007-01-01","Transport","Low-carbon and clean industries"
"CORDIS-193348","H2020",2015,"2015-03-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20120417A1","Patent",2014,"2014-01-01","Process industries and materials","Advanced materials"
"docdbWO2014165945A2","Patent",2014,"2014-01-01","Energy","Low-carbon and clean industries"
"docdbRS20090464A","Patent",2011,"2011-01-01","Process industries and materials","Advanced materials"
"docdbRS20130447A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"581370-CREA-1-2016-1-MK-MED-VOD","Creative Europe",2016,"2016-01-01","Better societies - governance, culture, education and the economy","Next generation internet"
"CORDIS-93317","FP7",2010,"2010-01-01","Process industries and materials","Advanced materials"
"docdbRS20120382A1","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"EUREKA-Network_Projects-2128","Eureka",2012,"2012-01-01","Environmental sciences and industries","Circular systems"
"docdbRS20070433A","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20060444A","Patent",2008,"2008-01-01","Energy","Advanced materials"
"CORDIS-95252","FP7",2010,"2010-06-01","ICT","Next generation internet"
"docdbWO2014178742A1","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20060616A","Patent",2008,"2008-01-01","Heavy machinery","Health care systems"
"docdbRS20120543A1","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS1329U","Patent",2013,"2013-01-01","Heavy machinery","Energy supply"
"docdbRS20120525A1","Patent",2014,"2014-01-01","Food","Food systems"
"docdbSG187553A1","Patent",2013,"2013-01-01","Energy","Low-carbon and clean industries"
"docdbRS20090278A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20130133A1","Patent",2014,"2014-01-01","Heavy machinery","Energy storage"
"docdbRS20060574A","Patent",2008,"2008-01-01","Heavy machinery","Energy storage"
"CORDIS-193876","H2020",2015,"2015-02-01","ICT","Artificial intelligence and robotics"
"docdbWO2009139656A1","Patent",2009,"2009-01-01","Heavy machinery","Advanced materials"
"docdbRS1108U","Patent",2009,"2009-01-01","Food","Food systems"
"docdbRS20130192A1","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-110817","FP7",2013,"2013-10-01","ICT","Advanced computing and Big Data"
"docdbRS20060383A","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-101654","FP7",2012,"2012-02-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbRS20100051A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbWO2014189399A1","Patent",2014,"2014-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20060700A","Patent",2008,"2008-01-01","Process industries and materials","Advanced materials"
"docdbRS20080481A","Patent",2010,"2010-01-01","Heavy machinery","Low-carbon and clean industries"
