"riactivityId","affiliationName","countryName","riactivityType"
"docdbWO2007135482A2","Individual applicant (Montenegro)","Montenegro","Patent"
"docdbRS20130044A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090115A","Individual applicant (Serbia)","Serbia","Patent"
"EUREKA-Network_Projects-1789","Spinnaker New Technologies","Serbia","Eureka"
"docdbWO2013019134A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090227A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-99971","INTERNATIONAL ASSOCIATION FOR THE EXCHANGE OF STUDENTS FOR TECHNICAL EXPERIENCE - MACEDONINA BOARD INTERNATIONAL EXCHANGE OF STUDENTS IAESTE","Macedonia","FP7"
"584078-CREA-1-2017-1-SI-CULT-COOP1","DRUSTVO ZA IZDAVANJE, PROMET I USLUGI GOTEN GRUP DOOEL SKOPJE","Macedonia","Creative Europe"
"docdbRS20130154A1","DRUSTVO ZA RADNO OSPOSOBLJAVANJE I ZAPOSLJAVANJE INVALIDA DES D O O ","Serbia","Patent"
"docdbRS20060566A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20130460A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090050A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1434U1","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2010019062A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090565A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2016111609A2","Individual applicant (Macedonia, FYR of)","Macedonia","Patent"
"docdbRS20080565A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070360A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20140235A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070082A","Individual applicant (Montenegro)","Montenegro","Patent"
"docdbRS20090301A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20150270A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1046U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20150138A1","MAJKIC DOO PREDUZECE ZA PROZVODNJU TRGOVINU I USLUGE ","Serbia","Patent"
"CORDIS-191929","ISTORIJSKI ARHIV BEOGRADA","Serbia","CIP"
"docdbRS1363U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-110790","Ss. Cyril and Methodius University of Skopje","Macedonia","FP7"
"CORDIS-99630","Fondacija za promovisanje nauke PRONA","Montenegro","FP7"
"docdbRS28504A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050770A","Individual applicant (Serbia)","Serbia","Patent"
"docdbEP1996514A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS20090373A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2009099347A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060379A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2010043920A2","Individual applicant (Macedonia, FYR of)","Macedonia","Patent"
"docdbWO2010095968A2","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-210572","Mihajlo Pupin Institute (U Belgrade)","Serbia","H2020"
"CORDIS-191776","JAVNO KOMUNALNO PREDUZECE INFORMATIKA NOVI SAD","Serbia","CIP"
"docdbRS20090381A","Institute for Telecommunications and Electronics IRITEL a.d. Beograd","Serbia","Patent"
"docdbRS20060603A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090398A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-191922","Municipality of Indjija","Serbia","CIP"
"docdbRS20090261A","BLAGOJEVICA D O O ","Serbia","Patent"
"docdbRS20060192A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080218A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2010085132A1","Individual applicant (Macedonia, FYR of)","Macedonia","Patent"
"docdbWO2008051766A2","Individual applicant (Serbia)","Serbia","Patent"
"559507-CREA-1-2015-1-HR-CULT-COOP1","UDRUZENJE GRADJANA KUDA.ORG","Serbia","Creative Europe"
"docdbRS20080247A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070267A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050827A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20130219A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-198797","INSTITUT ZA PLUCNE BOLESTI VOJVODINE","Serbia","H2020"
"docdbRS20100194A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-191819","Municipality of Stari Grad","Serbia","CIP"
"docdbRS20090453A","Individual applicant (Serbia)","Serbia","Patent"
"EUREKA-Network_Projects-1789","University of Belgrade","Serbia","Eureka"
"docdbRS1389U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20120102A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-110447","University of Belgrade","Serbia","FP7"
"docdbRS20100333A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20150259A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-109711","CITY OF NOVI SAD","Serbia","FP7"
"CORDIS-92035","REPUBLICKI ZAVOD ZA ZDRAVSTVENA ZASTITA","Macedonia","FP7"
"CORDIS-199271","UDRUZENJE POLJOPRIVREDNIKA OPSTINE RUMA","Serbia","H2020"
"docdbRS20080088A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050323A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060640A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-200062","SOCIAL RESEARCH KOSOVA LLC","Kosovo","H2020"
"docdbRS20070033A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090355A","Individual applicant (Serbia)","Serbia","Patent"
"EACEA-513674","Narodna i univerzitetska biblioteka Republike Srpske/ National","Bosnia and Herzegovina","Culture"
"docdbEP3074900A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2016214570A1","Individual applicant (Macedonia, FYR of)","Macedonia","Patent"
"docdbRS1031U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-110874","Mihajlo Pupin Institute (U Belgrade)","Serbia","FP7"
"docdbRS20140200A1","University of Belgrade","Serbia","Patent"
"docdbWO2008144852A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"CORDIS-194045","NATIONAL AGENCY FOR REGIONAL DEVELPMENT","Serbia","H2020"
"CORDIS-110342","PRODUCTION TRADE AND SERVICE COMPANY ARTHAUS DOO IMPORT-EXPORT SKOPJE","Macedonia","FP7"
"CORDIS-87496","University of Kragujevac","Serbia","FP7"
"docdbRS20100226A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1201U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060111A","INTERMA AQUA ","Serbia","Patent"
"EUREKA-Network_Projects-238","ALFANUM D.O.O.","Serbia","Eureka"
"docdbRS104904A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-87753","MASA POPOVIC PR - UNA SISTEMI","Serbia","FP7"
"CORDIS-86227","KOSOVA EDUCATION CENTER","Kosovo","FP7"
"CORDIS-200062","INSTITUT ZA DEMOKRATIJA SOCIETAS CIVILIS SKOPJE","Macedonia","H2020"
"docdbRS887U","Individual applicant (Serbia)","Serbia","Patent"
"EACEA-513660","Muzička škola ISIDOR BAJIĆ","Serbia","Culture"
"docdbRS20080397A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS46004A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090531A","Individual applicant (Serbia)","Serbia","Patent"
"EACEA-522536","Zdruzenie na gragjani Kontrapunkt","Macedonia","Culture"
"docdbRS20150417A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-102122","SHOQATA PER TEKNOLOGJI TE INFORMACIONIT DHE TE KOMUNIKIMIT TE KOSOVES","Kosovo","FP7"
"CORDIS-100501","OPERATOR NA ELEKTROPRENOSNIOT SISTEM NA MAKEDONIJA AKCIONERSKO DRUSHTVO ZA PRENOS NA ELEKTRICHNA ENERGIJAI UPRAVUVANJE SO ELEKTROENERGETSKI","Macedonia","FP7"
"CORDIS-86416","University of Tirana","Albania","FP7"
"CORDIS-88396","JAVNA USTANOVA UNIVERZITET CRNE GORE PODGORICA","Montenegro","FP7"
"docdbRS20120374A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080117A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2010015252A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS20060705A","Individual applicant (Serbia)","Serbia","Patent"
"docdbPE05152015A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1226U","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2009031913A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1017U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100131A","University of Novi Sad","Serbia","Patent"
"docdbWO2010097571A1","GODMAN ANGLING LTD ","Bosnia and Herzegovina","Patent"
"docdbRS20090268A","KARTEKS D O O ","Serbia","Patent"
"CORDIS-89489","Ministarstvo za telekomunikacije i informaciono drustvo","Serbia","FP7"
"docdbRS20080057A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS940U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-97148","JAVNA USTANOVA UNIVERZITET CRNE GORE PODGORICA","Montenegro","FP7"
"CORDIS-89939","University of Kragujevac","Serbia","FP7"
"docdbDK1435999T3","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS1182U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS978U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-210156","INSTITUT ZA FIZIKU","Serbia","H2020"
"docdbRS20050526A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-193887","University of Belgrade","Serbia","H2020"
"docdbRS20160378A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbSMP201300137B","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS20080399A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060421A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20140209A1","RT-RK Computer Based Systems LLC","Serbia","Patent"
"docdbRS871U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-105213","Mihajlo Pupin Institute (U Belgrade)","Serbia","FP7"
"docdbRS20090555A","Individual applicant (Serbia)","Serbia","Patent"
"docdbHK1132322A1","COOPERVISION INT HOLDING CO LP ","Bosnia and Herzegovina","Patent"
"docdbKR20100059853A","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2014068279A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbWO2013153505A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050095A","Individual applicant (Serbia)","Serbia","Patent"
"583794-CREA-1-2017-1-BE-CULT-COOP1","UDRUZENJE KROKODIL","Serbia","Creative Europe"
"CORDIS-212867","Mihajlo Pupin Institute (U Belgrade)","Serbia","H2020"
"docdbRS52347B","COMM PLUS DOO ","Serbia","Patent"
"docdbEP2140074A2","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-204776","INOSENS DOO NOVI SAD","Serbia","H2020"
"docdbRS20070254A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS88904A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20110291A2","RT-RK Computer Based Systems LLC","Serbia","Patent"
"CORDIS-106447","ZENSKA ASOCIJACIJA ROSA","Serbia","FP7"
"docdbRS948U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070289A","Individual applicant (Serbia)","Serbia","Patent"
"EACEA-507454","Theatre of Movement MIMARTName: Nela  Antonovic","Serbia","Culture"
"docdbRS20080400A","KLIK MEE D O O ","Serbia","Patent"
"CORDIS-97667","University Hospital Center of Tirana Mother Theresa (QSUT)","Albania","FP7"
"docdbWO2014015392A2","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbWO2014059493A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS20100099A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-100560","INSTITUT EKONOMSKIH NAUKA","Serbia","FP7"
"docdbRS917U","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2016041830A1","Henkel Srbija D.o.o.","Serbia","Patent"
"docdbRS20050121A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080045A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1462U1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100327A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2011291463A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbCA2955430A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-111161","NXITJA E BIZNESIT SOCIAL SHA","Albania","FP7"
"docdbUS2014284832A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070356A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060122A","Individual applicant (Serbia)","Serbia","Patent"
"570516-CREA-1-2016-1-IT-CULT-COOP1","TIRANA EKSPRES","Albania","Creative Europe"
"docdbRS20050586A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20140271A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20120034A1","QUADRA GRAPHIC DOO ","Serbia","Patent"
"docdbUS2007191344A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbAR067810A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20120227A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1448U1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20130042A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20130489A1","University of Novi Sad","Serbia","Patent"
"docdbCZ25153U1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090482A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20150276A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1403U1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060387A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080427A","Individual applicant (Serbia)","Serbia","Patent"
"580173-CREA-1-2016-2-RS-MED-TV","DRUSTVO ZA PROIZVODNJU I DISTRIBUCIJU FILMOVA DRIBBLING PICTURES DOO BEOGRAD(CUKARICA)","Serbia","Creative Europe"
"docdbRS20090147A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-91014","Institute of Earthquake Engineering and Engineering Seismology-IZIIS","Macedonia","FP7"
"CORDIS-203296","Ministry of Security of Bosnia and Herzegovina","Bosnia and Herzegovina","H2020"
"CORDIS-207211","MINISTRIA E SHENDETESISE","Kosovo","H2020"
"docdbRS1108U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050314A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-94399","University of Niš","Serbia","FP7"
"docdbRS20110389A1","RT-RK Computer Based Systems LLC","Serbia","Patent"
"docdbRS884U","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2013106210A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1409U1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-193919","FONDACIJA ZA OBNOVU I RAZVOJ REGIJE VARES","Bosnia and Herzegovina","H2020"
"docdbRS20060618A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080217A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100229A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060445A","DELEVIC","Montenegro","Patent"
"docdbRS20080077A","CEPKENOVIC ","Serbia","Patent"
"docdbRS20050336A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS116204A","Galenika A.d.","Serbia","Patent"
"docdbRS20140094A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS82704A","Individual applicant (Serbia)","Serbia","Patent"
"docdbME02428B","Individual applicant (Montenegro)","Montenegro","Patent"
"CORDIS-193314","NOVELIC DOO BEOGRAD-NOVI BEOGRAD","Serbia","H2020"
"docdbWO2012033422A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS922U","Individual applicant (Serbia)","Serbia","Patent"
"docdbEP2370690A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2009061228A1","Individual applicant (Serbia)","Serbia","Patent"
"583662-CREA-1-2017-1-IT-CULT-COOP1","UDRUZENJE TUZLANSKA AMICA TUZLA","Bosnia and Herzegovina","Creative Europe"
"docdbRS20090475A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090141A","University of Novi Sad","Serbia","Patent"
"docdbRS20100269A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100429A2","Individual applicant (Serbia)","Serbia","Patent"
"583860-CREA-1-2017-1-FR-CULT-COOP1","HARTEFAKT FOND FONDACIJA","Serbia","Creative Europe"
"CORDIS-94900","HEMIJSKI FAKULTET, UNIVERZITET U BEOGRADU","Serbia","FP7"
"docdbRS20090386A","Individual applicant (Serbia)","Serbia","Patent"
"EACEA-522658","Public Room (Bosnia and Herzegovina)","Bosnia and Herzegovina","Culture"
"CORDIS-194396","JAVNO KOMUNALNO PREDUZECE INFORMATIKA NOVI SAD","Serbia","H2020"
"docdbRS20060694A","KORPORACIJA POLIESTER A D PRIBOJ ","Serbia","Patent"
"docdbHRP20120922T1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS76304A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090013A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-207192","FEDERALNI ZAVOD ZA GEOLOGIJU SARAJEVO","Bosnia and Herzegovina","H2020"
"docdbUS2012176240A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2007056834A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS20120581A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060326A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100174A","KORALI D O O ","Serbia","Patent"
"docdbRS20110246A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060636A","TIM SISTEM D O O ","Serbia","Patent"
"docdbWO2010089638A2","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS20120072A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2015166010A1","Boris Kidric Institute for Nuclear Sciences","Serbia","Patent"
"docdbWO2009082251A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-101721","Macedonian Academy for Sciences and Arts","Macedonia","FP7"
"docdbRS1268U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20140263A1","University of Belgrade","Serbia","Patent"
"docdbRS20140400A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2012067531A1","CAPITOL W B C D O O ","Serbia","Patent"
"CORDIS-193229","Mihajlo Pupin Institute (U Belgrade)","Serbia","H2020"
"docdbRS20060365A","Individual applicant (Serbia)","Serbia","Patent"
"552367-CREA-1-2014-1-SI-CULT-COOP1","TIRANA ART LAB","Albania","Creative Europe"
"docdbRS20080596A","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2012040657A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1292U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20140484A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbHU0900592A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2008156349A2","Individual applicant (Macedonia, FYR of)","Macedonia","Patent"
"docdbRS20060152A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-97274","Mihajlo Pupin Institute (U Belgrade)","Serbia","FP7"
"docdbRS20110245A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20140583A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1253U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080044A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060488A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070500A","Individual applicant (Serbia)","Serbia","Patent"
"578924-CREA-1-2016-1-AL-CULT-LIT1","BOTIME PEGI SHPK","Albania","Creative Europe"
"docdbRS20050748A","Individual applicant (Serbia)","Serbia","Patent"
"docdbHRP20110307A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbBRPI0614592A2","KICK OFF LTD ","Albania","Patent"
"docdbRS1375U","EVROLIFE INVEST DOO ","Serbia","Patent"
"docdbRS20090078A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070308A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS67804A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20110360A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070282A","CIM COLLEGE D O O ","Serbia","Patent"
"docdbRS20090419A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20150722A1","Individual applicant (Serbia)","Serbia","Patent"
"583503-CREA-1-2017-1-BG-CULT-COOP1","HERCEG NOVI","Montenegro","Creative Europe"
"docdbWO2008091172A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060592A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080042A","Individual applicant (Serbia)","Serbia","Patent"
"EUREKA-Network_Projects-2055","University of Belgrade","Serbia","Eureka"
"docdbRS20050758A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS837U","Individual applicant (Serbia)","Serbia","Patent"
"docdbCA2832904A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090229A","Individual applicant (Serbia)","Serbia","Patent"
"585504-CREA-1-2017-1-BA-MED-MARKETACC","OBALA ART CENTAR","Bosnia and Herzegovina","Creative Europe"
"docdbRS20080073A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS870U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1112U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090150A","Bosnalijek d. d. Pharmaceuticals","Bosnia and Herzegovina","Patent"
"docdbUS2008147682A1","YAHOO! INC","Serbia","Patent"
"docdbWO2013100774A1","Economics Institute","Serbia","Patent"
"docdbRS20050820A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060408A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080185A","Individual applicant (Serbia)","Serbia","Patent"
"EUREKA-Network_Projects-1992","YU SPIN d.o.o.","Serbia","Eureka"
"EACEA-522576","OZON NGO","Serbia","Culture"
"docdbRS20070171A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2010063695A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1138U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100101A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1218U","ALUXOM D O O ","Serbia","Patent"
"CORDIS-211582","PRIVREDNO DRUSTVO ZA PRUZANJE USLUGA ISTRAZIVANJE I RAZVOJ NISSATECH INNOVATION CENTRE DOO","Serbia","H2020"
"docdbRS1083U","IMS Institut A.D.","Serbia","Patent"
"EUREKA-Network_Projects-1889","Institute for Telecommunications and Electronics IRITEL a.d. Beograd","Serbia","Eureka"
"docdbRS888U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-94575","Ministry of Social Affairs","Bosnia and Herzegovina","FP7"
"docdbWO2009005385A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070513A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090175A","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"553090-CREA-1-2014-1-BA-MED-COPROD","OBALA ART CENTAR","Bosnia and Herzegovina","Creative Europe"
"docdbUS2012065536A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS20110560A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100549A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2013133475A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS20080093A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-90619","FACULTY OF ORGANIZATIONAL SCIENCES, UNIVERSITY OF BELGRADE","Serbia","FP7"
"CORDIS-199899","PREDUZECE ZA INFORMACIONE TEHNOLOGIJE I ELEKTRONSKO TRGOVANJE BELIT DOO","Serbia","H2020"
"docdbRS910U","Individual applicant (Serbia)","Serbia","Patent"
"561231-CREA-1-2015-1-AL-CULT-LIT1","BOTIME PEGI SHPK","Albania","Creative Europe"
"docdbRS20090139A","University of Novi Sad","Serbia","Patent"
"docdbHRP20120176A2","BEKTO PRECISA D O O ","Bosnia and Herzegovina","Patent"
"CORDIS-210276","FONDACIJA BIZNIS START - UP CENTAR BAR","Montenegro","H2020"
"docdbIN4029DEN2015A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-89258","University of Belgrade","Serbia","FP7"
"docdbRS20060165A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-108704","JAVNA USTANOVA UNIVERZITET CRNE GORE PODGORICA","Montenegro","FP7"
"docdbHRP20080621A2","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS1159U","CENTAR ZA AUTOMATIZACIJU I MEHATRONIKU ","Serbia","Patent"
"CORDIS-107909","INOVACIONI CENTAR ELEKTROTEHNICKOG FAKULTETA U BEOGRADU DOO","Serbia","FP7"
"docdbWO2012054941A1","Individual applicant (Albania)","Albania","Patent"
"CORDIS-109016","VISOKA TEHNICKA SKOLA STRUKOVNIH STUDIJA U ZRENJANINU","Serbia","FP7"
"docdbRS1359U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-86227","MINISTARSTVO EKONOMIJE","Montenegro","FP7"
"CORDIS-96295","University of Novi Sad","Serbia","FP7"
"CORDIS-207058","Institute of National History","Macedonia","H2020"
"docdbWO2011009176A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS1318U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080099A","Individual applicant (Montenegro)","Montenegro","Patent"
"CORDIS-94134","The Highway Institute","Serbia","FP7"
"CORDIS-204275","FONDACIJA BIZNIS START - UP CENTAR BAR","Montenegro","H2020"
"559233-CREA-1-2015-1-UK-CULT-COOP1","DRUTSVO ZA FILMSKA PRODUKCIJA OTVORENA SOBA SKOPJE","Macedonia","Creative Europe"
"docdbRS20100519A2","CENTAR ZA UNAPRE & DENJE & ZIVOTNIH AKTIVNOSTI ","Serbia","Patent"
"docdbUS2012321759A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050608A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-200850","ELEKTROTEHNICKI INSTITUT NIKOLA TESLA AKCIONARSKO DRUSTVO BEOGRAD SAVSKI VENEC","Serbia","H2020"
"CORDIS-202700","KOSOVAR CENTRE FOR SECURITY STUDIES","Kosovo","H2020"
"docdbRS20140598A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100293A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2008147682A1","Individual applicant (Serbia)","Serbia","Patent"
"EUREKA-Network_Projects-1786","GVS Co. Belgrade","Serbia","Eureka"
"CORDIS-95527","MUNICIPALITY OF BITOLA","Macedonia","FP7"
"docdbRS1087U","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2016023048A1","Individual applicant (Albania)","Albania","Patent"
"docdbRS20100266A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-211161","JAVNA USTANOVA RAZVOJNA AGENCIJA UNSKO-SANSKOG KANTONA","Bosnia and Herzegovina","H2020"
"docdbRS1316U","Individual applicant (Serbia)","Serbia","Patent"
