"riactivityId","affiliationName","countryName","riactivityType"
"docdbRS20060183A","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2010178674A1","Individual applicant (Montenegro)","Montenegro","Patent"
"docdbRS20080182A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2015199569A1","Individual applicant (Serbia)","Serbia","Patent"
"EACEA-536169","Association Mikser","Serbia","Culture"
"docdbRS20140514A1","RT-RK Computer Based Systems LLC","Serbia","Patent"
"CORDIS-91009","MINISTARSTVO PROSVETE, NAUKE I TEHNOLOSKOG RAZVOJA","Serbia","FP7"
"CORDIS-110320","ZIP CENTAR ZA MLADE BIZNIS INKUBATOR DOO PIROT","Serbia","FP7"
"docdbRS20110565A1","University of Belgrade","Serbia","Patent"
"docdbRS20100573A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2013192831A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS1454U1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080126A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20150119A1","Individual applicant (Serbia)","Serbia","Patent"
"552226-CREA-1-2014-1-UK-CULT-COOP1","ZADUZBINA ILIJE M KOLARCA","Serbia","Creative Europe"
"docdbRS977U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070346A","Individual applicant (Serbia)","Serbia","Patent"
"docdbDE102014016404A1","TEKON D O O ","Macedonia","Patent"
"552178-CREA-1-2014-1-DK-CULT-COOP1","MUSICAL YOUTH ASSOCIATION OF MACEDONIA SKOPJE","Macedonia","Creative Europe"
"CORDIS-99335","University of Novi Sad","Serbia","FP7"
"docdbRS20140586A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20110206A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS914U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-89487","University of Mostar","Bosnia and Herzegovina","FP7"
"docdbRS20090226A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2009110814A2","Individual applicant (Serbia)","Serbia","Patent"
"EUREKA-Network_Projects-2122","NISSAL - Aluminium Processing","Serbia","Eureka"
"CORDIS-110447","INSTITUT ZA KARDIOVASKULARNE BOLESTI VOJVODINE","Serbia","FP7"
"docdbAT519999T","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050938A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080014A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20110422A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-186071","NAFTNA INDUSTRIJA SRBIJE AD","Serbia","FP7"
"CORDIS-207198","MACEDONIAN ACADEMIC AND RESEARCH NETWORK SKOPJE","Macedonia","H2020"
"docdbRS20110537A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2013021124A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060341A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060665A","University of Belgrade","Serbia","Patent"
"CORDIS-94399","Macedonian Academy for Sciences and Arts","Macedonia","FP7"
"CORDIS-96636","University of Belgrade","Serbia","FP7"
"docdbRS20080592A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS891U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060153A","HOUSE OF BUSINESS ADVENTURES ","Serbia","Patent"
"docdbRS20100079A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20120450A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050022A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-108743","University of Belgrade","Serbia","FP7"
"docdbRS20060482A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20140372A1","PROCESCOM D O O BEOGRAD ","Serbia","Patent"
"docdbWO2009145601A1","Individual applicant (Macedonia, FYR of)","Macedonia","Patent"
"EACEA-536087","DJEČIJE POZORIŠTE REPUBLIKE SRPSKE","Bosnia and Herzegovina","Culture"
"docdbWO2014112891A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbKR20140089413A","Individual applicant (Serbia)","Serbia","Patent"
"docdbBRMU9102796U2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS930U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-185730","Institut za nuklearne nauke Vinca","Serbia","FP7"
"docdbRS1073U","MAREL D O O ","Serbia","Patent"
"docdbRS1223U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070505A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-89366","REPUBLICAN AGENCY FOR INTERNATIONAL SCIENTIFIC, EDUCATIONAL, CULTURAL AND TECHNICAL COOPERATION, PODGORICA","Montenegro","FP7"
"docdbGB2528648A","Individual applicant (Serbia)","Serbia","Patent"
"EACEA-536591","JugoKoncert, Ustanova za Muzicko-Schensk","Serbia","Culture"
"docdbRS1238U","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2011106758A1","GOOGLE INC","Serbia","Patent"
"docdbRS20150058A1","CAM Engineering","Serbia","Patent"
"docdbWO2009051505A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-104417","CENTAR ZA PROMOCIJU NAUKE","Serbia","FP7"
"CORDIS-86779","University Hospital Lung Diseases Shefqet Ndroqi","Albania","FP7"
"CORDIS-211949","CENTAR ZA KOORDINACIJU SIGURNOSTI SCC DOO BEOGRAD-VOZDOVAC","Serbia","H2020"
"docdbRS20060199A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-199936","DIASENS DOO BEOGRAD","Serbia","H2020"
"docdbRS20050455A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-196935","MINISTARSTVO PROSVETE, NAUKE I TEHNOLOSKOG RAZVOJA","Serbia","H2020"
"docdbRS20050492A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20150404A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-199877","RRJETI EDUKATOREVE BASHKEMOSHATAR","Kosovo","H2020"
"docdbRS20120369A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2008105561A1","CAMBRIDGE ENTERPRISE LIMITED THE OLD SCHOOLS","Macedonia","Patent"
"docdbRS995U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070295A","Individual applicant (Serbia)","Serbia","Patent"
"EUREKA-Network_Projects-1832","University of Niš","Serbia","Eureka"
"docdbRS20150273A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbEP2583374A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-191438","BIOSENSE INSTITUTE - RESEARCH AND DEVELOPMENT INSTITUTE FOR INFORMATION TECHNOLOGIES IN BIOSYSTEMS","Serbia","FP7"
"docdbRS20060048A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060455A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100018A","ZESIUM MOBILE D O O ZA PROIZV KOMUNIKACIONG SOFTVERA I HARDVERA ","Serbia","Patent"
